Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDV24,OUT046,2380.0
FDI50,OUT019,1780.0
FDS09,OUT035,1032.0
NCC31,OUT027,3890.0
FDQ07,OUT019,1592.0
FDC22,OUT017,3174.0
FDZ56,OUT046,2660.0
FDZ40,OUT019,-1024.0
FDS46,OUT027,3402.0
DRD24,OUT045,2158.0
FDV45,OUT017,3100.0
FDL26,OUT045,2394.0
FDA56,OUT018,1732.0
FDN27,OUT046,1892.0
FDM20,OUT049,3978.0
FDO16,OUT017,1452.0
FDL03,OUT035,3314.0
FDE58,OUT046,1884.0
FDI02,OUT027,3290.0
NCC55,OUT019,-1248.0
FDR03,OUT018,3100.0
FDB14,OUT017,1652.0
FDR45,OUT013,3870.0
NCN07,OUT017,2150.0
FDM51,OUT019,-172.0
FDT52,OUT027,5370.0
FDL26,OUT046,2428.0
NCZ42,OUT046,3736.0
DRI47,OUT019,420.0
FDW40,OUT013,2342.0
FDN34,OUT046,2728.0
FDS01,OUT035,2978.0
NCG55,OUT045,1768.0
FDC11,OUT035,1526.0
FDX35,OUT018,3380.0
NCB06,OUT046,2480.0
FDR09,OUT019,2164.0
FDC53,OUT017,1670.0
FDY45,OUT013,4090.0
FDA22,OUT010,796.0
FDE02,OUT035,1648.0
FDW21,OUT045,1626.0
FDV34,OUT046,1240.0
FDS59,OUT049,1902.0
NCW17,OUT017,2126.0
NCK54,OUT046,1916.0
FDG17,OUT019,2012.0
FDG35,OUT017,2932.0
FDD08,OUT010,-1240.0
NCO07,OUT017,3422.0
FDJ10,OUT010,392.0
FDW36,OUT017,1770.0
FDW21,OUT010,-226.0
FDY19,OUT017,1996.0
DRE03,OUT013,846.0
NCC55,OUT049,730.0
FDH52,OUT010,-768.0
FDO09,OUT017,4320.0
FDU43,OUT045,3762.0
FDX09,OUT010,880.0
FDH40,OUT019,-528.0
FDW58,OUT017,1806.0
FDC47,OUT017,3664.0
NCR41,OUT035,1660.0
DRG49,OUT035,3988.0
FDC52,OUT027,3954.0
FDY13,OUT046,1188.0
FDY35,OUT013,854.0
FDI35,OUT017,2994.0
NCU18,OUT049,2314.0
FDY33,OUT018,2324.0
FDC15,OUT027,3910.0
FDU01,OUT049,3134.0
NCU42,OUT046,2652.0
NCV29,OUT018,2548.0
NCY30,OUT017,2980.0
FDQ46,OUT049,1878.0
FDG58,OUT027,3954.0
FDK33,OUT017,3484.0
NCD07,OUT045,1772.0
NCX29,OUT027,3698.0
NCT42,OUT013,2390.0
DRN59,OUT035,924.0
FDI44,OUT035,1408.0
FDA45,OUT049,2910.0
FDP31,OUT045,1018.0
FDY01,OUT046,1844.0
FDT09,OUT018,1948.0
DRH03,OUT027,2990.0
FDA36,OUT018,2716.0
NCF31,OUT017,2510.0
FDG14,OUT049,2566.0
FDG28,OUT027,5402.0
FDU14,OUT049,4058.0
FDY47,OUT019,248.0
FDI56,OUT049,1530.0
DRD01,OUT013,1038.0
FDM22,OUT046,948.0
FDH33,OUT013,742.0
DRZ24,OUT013,1962.0
NCQ38,OUT046,1644.0
FDO16,OUT027,2818.0
FDU07,OUT027,3818.0
NCB07,OUT013,3094.0
FDU48,OUT045,2014.0
NCM43,OUT045,2508.0
FDR31,OUT010,472.0
DRK49,OUT018,456.0
NCI30,OUT010,1942.0
DRD60,OUT017,2984.0
NCG19,OUT046,3636.0
FDH12,OUT035,1804.0
FDM32,OUT035,1646.0
FDM27,OUT035,2652.0
NCU53,OUT027,4062.0
NCQ18,OUT046,1512.0
FDS10,OUT013,2906.0
FDB33,OUT027,3954.0
FDI12,OUT013,1486.0
NCW42,OUT013,3522.0
NCC06,OUT018,1780.0
FDW02,OUT017,2186.0
NCD43,OUT017,1762.0
FDM57,OUT018,1140.0
FDA58,OUT017,3844.0
FDK56,OUT046,2900.0
FDP52,OUT045,3626.0
FDW20,OUT018,1748.0
FDS52,OUT049,1718.0
NCT29,OUT018,1628.0
NCL54,OUT013,2854.0
FDC05,OUT045,3094.0
FDF34,OUT035,3322.0
FDP03,OUT027,3494.0
FDD32,OUT010,-460.0
FDZ10,OUT045,1958.0
FDZ40,OUT035,1026.0
FDD51,OUT018,476.0
NCY30,OUT019,926.0
FDP58,OUT017,3528.0
FDV49,OUT017,4276.0
FDY24,OUT019,-1008.0
NCO55,OUT017,1774.0
FDR13,OUT017,2032.0
FDS51,OUT017,1132.0
FDP26,OUT045,1586.0
NCB54,OUT027,3482.0
FDF32,OUT017,3244.0
FDN31,OUT018,2740.0
DRM48,OUT017,700.0
FDN20,OUT049,2798.0
DRL01,OUT046,3716.0
FDV56,OUT049,1890.0
DRH13,OUT027,3190.0
FDA03,OUT017,2496.0
FDF47,OUT027,4978.0
FDX32,OUT046,2356.0
FDX57,OUT049,1722.0
NCA30,OUT045,2888.0
FDO49,OUT013,942.0
FDL04,OUT019,-256.0
DRM48,OUT035,750.0
FDR16,OUT013,3458.0
NCC19,OUT018,2764.0
NCE42,OUT045,3626.0
FDY24,OUT017,1052.0
FDH19,OUT049,2886.0
FDJ46,OUT013,2822.0
FDN45,OUT010,1634.0
FDY08,OUT035,2380.0
FDZ37,OUT035,1626.0
NCT30,OUT045,652.0
DRY23,OUT018,496.0
NCZ30,OUT018,1676.0
FDC44,OUT018,1532.0
FDB45,OUT035,1826.0
FDY04,OUT013,2706.0
FDM27,OUT046,2528.0
FDZ43,OUT017,3976.0
FDT39,OUT019,564.0
NCC06,OUT019,92.0
FDL15,OUT027,3890.0
FDL57,OUT017,4218.0
FDU08,OUT046,1572.0
FDK40,OUT017,4310.0
FDQ12,OUT010,1740.0
FDS48,OUT017,2528.0
FDP09,OUT045,3266.0
FDW21,OUT049,1782.0
FDY25,OUT035,3034.0
DRE13,OUT017,1488.0
FDV43,OUT019,-1208.0
FDD22,OUT045,1686.0
FDM46,OUT019,-488.0
NCO30,OUT010,1050.0
FDM25,OUT046,2788.0
NCN41,OUT049,2026.0
FDU24,OUT045,1466.0
FDZ50,OUT046,2936.0
FDP45,OUT013,4082.0
NCM54,OUT045,1900.0
FDW10,OUT019,888.0
FDP20,OUT017,2156.0
FDK32,OUT046,2444.0
FDN52,OUT049,1542.0
FDM58,OUT045,1758.0
FDZ46,OUT027,3226.0
NCA18,OUT018,1596.0
FDD35,OUT046,1948.0
NCK31,OUT035,928.0
FDI40,OUT027,3098.0
FDT50,OUT019,-304.0
NCT06,OUT046,2576.0
FDT31,OUT035,3120.0
FDT45,OUT049,982.0
FDT13,OUT045,2898.0
FDO50,OUT045,1394.0
NCU18,OUT010,326.0
NCR54,OUT049,3154.0
NCO18,OUT018,2548.0
FDU09,OUT045,890.0
FDT13,OUT018,2740.0
FDE09,OUT046,1780.0
NCK53,OUT019,-300.0
FDG45,OUT049,3458.0
DRH15,OUT035,880.0
FDO21,OUT019,1716.0
FDD14,OUT027,4322.0
FDC09,OUT046,1692.0
FDH45,OUT027,2214.0
FDV32,OUT046,1020.0
FDG12,OUT035,2152.0
FDS32,OUT013,2354.0
NCL55,OUT018,3700.0
DRE01,OUT035,3944.0
DRE15,OUT049,1374.0
NCL42,OUT045,3792.0
FDP31,OUT013,1130.0
FDN33,OUT018,1300.0
FDZ59,OUT046,2624.0
FDE45,OUT010,960.0
FDJ07,OUT013,1966.0
FDQ45,OUT018,2764.0
FDM33,OUT027,4910.0
FDO15,OUT010,-572.0
FDM46,OUT013,1498.0
FDR03,OUT045,3262.0
FDY49,OUT018,2468.0
FDQ60,OUT045,1850.0
FDW10,OUT049,2890.0
FDO51,OUT049,914.0
FDJ40,OUT018,1564.0
FDS20,OUT018,2644.0
FDU45,OUT013,1910.0
FDV02,OUT035,2828.0
FDN09,OUT046,3812.0
NCM55,OUT027,4374.0
FDN23,OUT018,2108.0
FDY31,OUT010,426.0
FDW03,OUT010,-104.0
FDD14,OUT046,2832.0
FDV23,OUT017,2102.0
DRI03,OUT045,2722.0
FDN13,OUT035,1700.0
FDF45,OUT027,2514.0
FDU46,OUT035,1620.0
FDB57,OUT049,3682.0
FDV12,OUT049,1762.0
FDQ58,OUT013,2498.0
NCA18,OUT017,1926.0
FDH52,OUT049,1170.0
FDM24,OUT018,2196.0
NCP43,OUT027,4298.0
NCO18,OUT019,866.0
FDM32,OUT017,1604.0
NCL07,OUT017,730.0
FDK03,OUT013,4094.0
FDP59,OUT017,1800.0
FDQ24,OUT049,4050.0
FDQ16,OUT018,1508.0
FDU44,OUT013,2658.0
FDH28,OUT010,-1192.0
FDV28,OUT019,-1280.0
FDM22,OUT045,866.0
FDR56,OUT046,3116.0
FDV39,OUT049,3246.0
FDU37,OUT019,-556.0
FDQ11,OUT010,2174.0
FDX02,OUT045,3450.0
NCS42,OUT018,1204.0
FDY57,OUT027,3018.0
FDB21,OUT049,3886.0
FDE28,OUT017,3778.0
FDQ55,OUT017,1998.0
FDA48,OUT049,3598.0
FDZ19,OUT045,2662.0
NCC43,OUT045,3856.0
NCV18,OUT046,1248.0
NCA42,OUT018,2276.0
FDY45,OUT046,4048.0
NCC30,OUT045,2726.0
FDM57,OUT013,1482.0
FDL09,OUT010,780.0
FDB09,OUT027,3434.0
FDT44,OUT035,2028.0
NCT06,OUT027,4042.0
FDX26,OUT049,2990.0
FDK32,OUT013,2554.0
DRA12,OUT046,2276.0
FDO46,OUT010,1196.0
FDE52,OUT013,1538.0
NCH42,OUT045,3516.0
FDV08,OUT035,884.0
FDB47,OUT018,3068.0
FDC28,OUT010,-72.0
FDD22,OUT046,1776.0
FDS07,OUT027,3298.0
DRI13,OUT045,3362.0
FDG32,OUT018,3228.0
FDU14,OUT017,4068.0
FDD28,OUT019,-904.0
NCP41,OUT017,1836.0
FDS08,OUT049,2862.0
FDX47,OUT045,2474.0
FDC53,OUT019,-280.0
FDQ19,OUT035,4024.0
FDL14,OUT045,2434.0
FDM33,OUT019,1584.0
FDA51,OUT045,1754.0
FDZ27,OUT018,588.0
FDT04,OUT046,668.0
DRC13,OUT049,2178.0
FDR16,OUT027,4894.0
FDQ03,OUT027,5242.0
FDE38,OUT035,2798.0
DRH23,OUT027,2358.0
FDT11,OUT019,1128.0
FDD09,OUT035,3006.0
FDR40,OUT045,1318.0
FDX07,OUT017,3120.0
FDR07,OUT035,1684.0
FDA51,OUT017,1960.0
FDT59,OUT019,1752.0
FDF20,OUT017,3192.0
FDR13,OUT045,1814.0
FDY26,OUT049,3486.0
FDW04,OUT017,2254.0
FDK52,OUT017,3692.0
FDN60,OUT049,2578.0
FDM09,OUT019,832.0
FDP46,OUT049,1530.0
FDB50,OUT019,-688.0
NCQ29,OUT049,4130.0
FDP16,OUT027,5322.0
FDX33,OUT018,2356.0
FDP07,OUT010,1162.0
FDN22,OUT046,3988.0
FDF39,OUT049,4298.0
FDS21,OUT017,1166.0
NCM42,OUT013,1746.0
FDK50,OUT019,716.0
DRF13,OUT027,3806.0
FDH35,OUT018,2364.0
FDP60,OUT018,1388.0
DRJ49,OUT027,3562.0
NCT42,OUT019,434.0
FDE38,OUT049,2754.0
FDI04,OUT049,3286.0
NCH54,OUT045,2376.0
FDT56,OUT049,1098.0
DRD15,OUT018,3416.0
FDV58,OUT013,3106.0
FDP21,OUT049,3122.0
FDH05,OUT013,3774.0
FDR10,OUT027,4026.0
NCP06,OUT045,2264.0
FDF33,OUT049,1822.0
DRK37,OUT013,3046.0
DRH49,OUT045,1298.0
FDT58,OUT013,2694.0
FDD41,OUT018,1476.0
FDP40,OUT018,1580.0
FDM51,OUT027,3162.0
FDO45,OUT010,-414.0
FDW33,OUT010,-196.0
FDY24,OUT045,846.0
FDB10,OUT010,1882.0
FDM40,OUT035,2368.0
NCI06,OUT017,2934.0
FDW12,OUT019,452.0
FDX48,OUT027,3970.0
NCW05,OUT027,3106.0
FDX27,OUT017,1688.0
DRM37,OUT045,3042.0
FDA38,OUT045,3726.0
FDR36,OUT046,680.0
FDZ45,OUT046,3116.0
FDG05,OUT017,2690.0
FDK28,OUT013,4118.0
FDV47,OUT045,1306.0
FDN21,OUT045,2466.0
FDP20,OUT027,3490.0
FDI35,OUT045,2802.0
DRY23,OUT013,818.0
FDA56,OUT017,2078.0
FDB09,OUT013,2010.0
NCO26,OUT027,3290.0
FDQ49,OUT018,2308.0
FDI52,OUT027,3394.0
FDZ44,OUT027,3322.0
FDZ09,OUT018,2340.0
FDY03,OUT049,1954.0
NCG42,OUT017,2162.0
DRI13,OUT027,4918.0
FDQ32,OUT013,2118.0
FDW16,OUT035,1662.0
FDU27,OUT046,788.0
FDR28,OUT010,784.0
FDQ49,OUT010,710.0
FDS37,OUT046,1836.0
FDW26,OUT018,3268.0
FDX12,OUT018,3652.0
NCP06,OUT013,2426.0
FDW45,OUT010,442.0
NCN30,OUT049,1602.0
FDN24,OUT049,950.0
NCL41,OUT027,1986.0
FDR02,OUT019,-144.0
FDD09,OUT010,1024.0
FDS33,OUT010,-486.0
FDU22,OUT045,1822.0
FDI53,OUT013,2670.0
DRH01,OUT049,2870.0
FDX32,OUT013,2382.0
NCP30,OUT018,404.0
FDB60,OUT045,3014.0
FDB14,OUT049,1654.0
NCP02,OUT035,1054.0
FDJ10,OUT017,2366.0
FDG34,OUT046,1812.0
NCB18,OUT017,1490.0
FDM16,OUT049,1374.0
FDW25,OUT018,1108.0
FDB35,OUT010,-362.0
DRN11,OUT013,2302.0
FDF41,OUT019,1952.0
FDH16,OUT045,1334.0
NCQ50,OUT018,3108.0
DRH23,OUT018,656.0
DRJ37,OUT013,2470.0
DRJ24,OUT027,4350.0
FDY16,OUT035,3114.0
FDQ27,OUT045,1670.0
FDZ33,OUT045,2266.0
FDF29,OUT045,2078.0
FDA08,OUT049,2758.0
FDG31,OUT046,1048.0
FDE34,OUT019,928.0
NCR30,OUT027,2618.0
FDV33,OUT035,4280.0
DRZ24,OUT018,1672.0
NCL54,OUT035,2888.0
FDR12,OUT049,2898.0
NCC54,OUT046,3740.0
DRN59,OUT013,826.0
FDX50,OUT019,-160.0
FDV31,OUT027,4266.0
NCA29,OUT027,4170.0
FDW60,OUT049,2974.0
FDX08,OUT017,2998.0
DRD49,OUT013,3754.0
FDD33,OUT046,3628.0
FDW35,OUT013,770.0
FDJ36,OUT017,1792.0
FDV51,OUT035,2784.0
FDW36,OUT046,1676.0
FDH35,OUT046,2604.0
NCS30,OUT027,3506.0
FDN49,OUT017,786.0
FDL08,OUT018,3652.0
FDI09,OUT013,3898.0
FDP19,OUT018,1796.0
FDU21,OUT010,-1276.0
NCP41,OUT045,1616.0
FDY10,OUT013,1854.0
FDP12,OUT018,436.0
NCN26,OUT049,1954.0
FDK44,OUT013,2802.0
FDC28,OUT049,1866.0
FDJ41,OUT027,5602.0
NCT29,OUT035,2074.0
NCH42,OUT019,1666.0
FDU60,OUT018,2476.0
FDS02,OUT045,3022.0
FDC51,OUT046,2020.0
FDU03,OUT013,3002.0
FDX39,OUT045,3322.0
NCY05,OUT010,-1290.0
NCL06,OUT027,5514.0
FDD32,OUT035,1504.0
NCN41,OUT045,1840.0
NCX53,OUT049,2346.0
FDU57,OUT019,504.0
FDQ23,OUT046,1648.0
FDQ52,OUT045,3818.0
FDC14,OUT045,654.0
FDY09,OUT035,2952.0
FDQ28,OUT045,2458.0
FDV25,OUT046,3472.0
FDJ07,OUT035,2018.0
DRB25,OUT049,1790.0
FDK52,OUT019,1660.0
FDY52,OUT027,2506.0
FDB28,OUT046,3084.0
FDT36,OUT035,750.0
FDV25,OUT017,3622.0
NCN07,OUT027,3502.0
FDC57,OUT017,3218.0
FDQ03,OUT018,3548.0
FDU23,OUT017,2776.0
NCX41,OUT035,3490.0
NCD06,OUT035,866.0
FDW08,OUT045,1614.0
NCU29,OUT017,2382.0
NCE06,OUT013,2558.0
FDV52,OUT010,36.0
FDB02,OUT017,2978.0
NCR18,OUT045,620.0
FDK16,OUT049,1602.0
NCQ29,OUT010,2146.0
FDZ01,OUT019,-172.0
FDW27,OUT035,2668.0
FDD17,OUT018,3508.0
FDW39,OUT013,2950.0
DRH59,OUT045,1106.0
FDS52,OUT013,1690.0
FDU40,OUT027,4538.0
NCF54,OUT013,2774.0
FDH46,OUT045,1626.0
NCP14,OUT049,1710.0
FDH50,OUT049,3066.0
DRF15,OUT010,584.0
FDV27,OUT027,2914.0
NCJ06,OUT049,1990.0
FDN02,OUT018,2988.0
FDQ51,OUT049,958.0
FDQ07,OUT017,3670.0
FDS45,OUT049,1842.0
NCJ06,OUT045,1820.0
FDD36,OUT035,2022.0
FDY25,OUT045,2834.0
FDU52,OUT046,2436.0
DRK47,OUT017,3688.0
NCL30,OUT017,2132.0
FDN22,OUT035,4162.0
NCF30,OUT027,3406.0
FDK03,OUT035,4228.0
FDT45,OUT017,1020.0
NCC54,OUT027,5182.0
FDP08,OUT018,2884.0
FDU44,OUT046,2620.0
DRG39,OUT035,1024.0
FDU32,OUT049,2074.0
FDY27,OUT049,2938.0
NCP54,OUT013,2002.0
NCZ41,OUT049,2106.0
DRL49,OUT013,2330.0
FDI05,OUT018,1020.0
FDY56,OUT045,3542.0
DRC13,OUT013,2138.0
NCV29,OUT017,2930.0
FDR24,OUT049,1586.0
FDZ34,OUT018,2788.0
FDP37,OUT035,2120.0
FDX08,OUT027,4322.0
FDS57,OUT045,2158.0
NCG18,OUT049,1726.0
FDK25,OUT018,2452.0
FDH53,OUT049,1502.0
DRI59,OUT018,3304.0
FDA52,OUT046,2820.0
FDT20,OUT010,-1226.0
FDE36,OUT019,744.0
FDI24,OUT017,2864.0
FDB28,OUT018,2884.0
FDV11,OUT017,2968.0
FDP01,OUT046,2480.0
FDD34,OUT027,4034.0
FDJ50,OUT027,2318.0
FDZ44,OUT013,1942.0
DRO59,OUT035,1368.0
DRB48,OUT045,658.0
FDR21,OUT018,2524.0
NCE42,OUT010,1842.0
FDO23,OUT046,1456.0
NCE30,OUT018,3076.0
FDQ22,OUT035,788.0
FDY01,OUT045,1786.0
FDS08,OUT017,2912.0
FDG28,OUT018,3724.0
FDQ51,OUT018,644.0
FDB05,OUT017,4024.0
FDO56,OUT049,2018.0
FDE02,OUT018,1212.0
FDN45,OUT017,3608.0
FDS09,OUT013,910.0
NCA54,OUT018,2604.0
FDP09,OUT010,1488.0
FDC53,OUT045,1510.0
NCM55,OUT017,3022.0
FDL09,OUT018,2460.0
FDA11,OUT019,-404.0
FDA50,OUT045,1418.0
FDC23,OUT017,2960.0
FDE22,OUT049,2618.0
FDD23,OUT046,2996.0
NCA29,OUT049,2818.0
FDK38,OUT046,2320.0
DRC13,OUT046,2004.0
NCP43,OUT049,2914.0
FDX28,OUT049,1706.0
FDF08,OUT049,1602.0
FDZ33,OUT046,2340.0
FDD10,OUT049,3002.0
FDO58,OUT017,2688.0
FDI50,OUT017,3812.0
FDO58,OUT045,2546.0
FDX08,OUT013,2922.0
NCK17,OUT010,-1198.0
FDF39,OUT035,4350.0
FDU45,OUT010,-22.0
NCJ18,OUT018,1556.0
DRC27,OUT019,1968.0
DRC25,OUT035,1520.0
FDU59,OUT035,2678.0
FDU28,OUT035,3192.0
NCP30,OUT046,648.0
FDB39,OUT018,660.0
FDE41,OUT013,1522.0
DRH11,OUT010,-970.0
FDA58,OUT045,3642.0
FDU50,OUT046,1888.0
FDM34,OUT013,2118.0
FDM44,OUT027,3090.0
FDR39,OUT045,2822.0
FDM25,OUT045,2758.0
FDQ49,OUT049,2650.0
DRH25,OUT018,640.0
FDM09,OUT027,4202.0
FDL44,OUT019,676.0
NCR42,OUT018,284.0
DRL59,OUT046,856.0
FDX43,OUT013,2730.0
DRK47,OUT010,1698.0
FDU48,OUT018,1844.0
FDY12,OUT045,786.0
NCN43,OUT018,1700.0
NCM55,OUT018,2636.0
FDQ21,OUT027,3434.0
FDX13,OUT035,4098.0
NCK30,OUT027,5414.0
FDG20,OUT049,2914.0
DRG27,OUT017,772.0
FDY14,OUT018,3900.0
FDP59,OUT035,1842.0
FDU60,OUT017,2852.0
NCC18,OUT019,726.0
DRJ39,OUT017,3560.0
FDS07,OUT049,1918.0
FDM08,OUT027,5034.0
FDP51,OUT045,1886.0
FDU16,OUT035,1544.0
FDH12,OUT013,1742.0
DRE48,OUT010,1264.0
NCL42,OUT027,5286.0
FDR21,OUT045,2718.0
NCW29,OUT035,2206.0
FDO11,OUT013,4062.0
NCM31,OUT049,2314.0
FDV35,OUT019,516.0
FDF58,OUT017,1136.0
NCE43,OUT049,2730.0
FDA02,OUT035,2488.0
DRL37,OUT010,-1112.0
FDR24,OUT018,1276.0
FDW59,OUT049,1454.0
FDS22,OUT049,922.0
FDW24,OUT017,924.0
FDU24,OUT035,1714.0
FDA21,OUT027,4426.0
FDH58,OUT027,3346.0
FDW36,OUT018,1412.0
FDI45,OUT027,4198.0
FDU01,OUT018,2772.0
FDF35,OUT027,3170.0
FDU43,OUT019,1916.0
FDE24,OUT019,356.0
FDK50,OUT049,2698.0
FDG31,OUT045,950.0
FDC60,OUT045,1398.0
FDL36,OUT013,1490.0
FDP21,OUT013,3114.0
FDW16,OUT045,1430.0
FDX02,OUT017,3658.0
FDQ58,OUT027,3946.0
FDT51,OUT046,1812.0
FDD59,OUT049,1450.0
NCM42,OUT018,1476.0
FDA57,OUT018,444.0
FDZ48,OUT035,1930.0
FDE46,OUT045,2350.0
NCZ30,OUT019,12.0
FDB56,OUT017,3158.0
FDA25,OUT027,3194.0
FDD20,OUT013,2066.0
FDL25,OUT013,1578.0
NCO18,OUT049,2878.0
FDJ45,OUT017,688.0
FDR12,OUT035,2900.0
NCF19,OUT010,-1122.0
FDK25,OUT046,2636.0
NCR17,OUT046,1784.0
FDC52,OUT046,2468.0
NCA54,OUT017,2952.0
FDR45,OUT010,1932.0
NCM19,OUT049,1902.0
FDF39,OUT027,5682.0
FDX23,OUT049,1654.0
FDD58,OUT027,3042.0
FDX28,OUT013,1674.0
NCD31,OUT013,2618.0
FDU57,OUT018,2188.0
FDI27,OUT046,804.0
NCM42,OUT046,1684.0
FDD32,OUT027,2830.0
FDI34,OUT013,3714.0
NCM29,OUT049,2150.0
